,remove,coverage
0,0.0,0.9986086956521739
1,0.0,0.9986086956521739
2,0.0,0.9986086956521739
3,0.0,0.9986086956521739
4,0.0,0.9986086956521739
5,0.1,0.9986086956521739
6,0.1,0.9982608695652174
7,0.1,0.9975652173913043
8,0.1,0.9986086956521739
9,0.1,0.9986086956521739
10,0.2,0.9954782608695653
11,0.2,0.9930434782608696
12,0.2,0.9947826086956522
13,0.2,0.9951304347826087
14,0.2,0.9965217391304347
15,0.3,0.9881739130434782
16,0.3,0.9874782608695652
17,0.3,0.9892173913043478
18,0.3,0.9906086956521739
19,0.3,0.9895652173913043
20,0.4,0.9787826086956521
21,0.4,0.9746086956521739
22,0.4,0.9763478260869565
23,0.4,0.976
24,0.4,0.9763478260869565
25,0.5,0.9627826086956521
26,0.5,0.9659130434782609
27,0.5,0.9568695652173913
28,0.5,0.9540869565217391
29,0.5,0.9544347826086956
30,0.6,0.9276521739130434
31,0.6,0.9224347826086956
32,0.6,0.9227826086956522
33,0.6,0.9224347826086956
34,0.6,0.910608695652174
35,0.7,0.8619130434782609
36,0.7,0.8525217391304348
37,0.7,0.8594782608695652
38,0.7,0.8511304347826087
39,0.7,0.864
40,0.8,0.7453913043478261
41,0.8,0.7652173913043478
42,0.8,0.7652173913043478
43,0.8,0.7485217391304347
44,0.8,0.7551304347826087
45,0.9,0.5436521739130434
46,0.9,0.5422608695652174
47,0.9,0.5485217391304348
48,0.9,0.56
49,0.9,0.5596521739130434
