providerid,city,statevalue,zip_code,county_name,phone_number,conditionvalue,measureid,Label
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,EDV,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,ED_1b,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,ED_2b,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Preventive Care,IMM_2,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_18b,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_18c,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_2,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_22,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Emergency Department,OP_23,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Colonoscopy care,OP_29,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Colonoscopy care,OP_30,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Cataract surgery outcome,OP_31,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Cancer care,OP_33,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_3b,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_5,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Pregnancy and Delivery Care,PC_01,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Sepsis Care,SEP_1,0
10001,DOTHAN,AL,36301,HOUSTON,3347938701,Blood Clot Prevention and Treatment,VTE_6,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,EDV,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,ED_1b,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,ED_2b,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Preventive Care,IMM_2,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,OP_18b,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,OP_18c,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Heart Attack or Chest Pain,OP_2,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,OP_22,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Emergency Department,OP_23,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Colonoscopy care,OP_29,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Colonoscopy care,OP_30,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Cataract surgery outcome,OP_31,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Cancer care,OP_33,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Heart Attack or Chest Pain,OP_3b,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Heart Attack or Chest Pain,OP_5,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Pregnancy and Delivery Care,PC_01,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Sepsis Care,SEP_1,0
10005,BOAZ,AL,35957,MARSHALL,2565938310,Blood Clot Prevention and Treatment,VTE_6,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,EDV,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,ED_1b,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,ED_2b,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Preventive Care,IMM_2,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,OP_18b,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,OP_18c,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Heart Attack or Chest Pain,OP_2,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,OP_22,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Emergency Department,OP_23,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Colonoscopy care,OP_29,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Colonoscopy care,OP_30,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Cataract surgery outcome,OP_31,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Cancer care,OP_33,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Heart Attack or Chest Pain,OP_3b,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Heart Attack or Chest Pain,OP_5,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Pregnancy and Delivery Care,PC_01,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Sepsis Care,SEP_1,0
10006,FLORENCE,AL,35630,LAUDERDALE,2567688400,Blood Clot Prevention and Treatment,VTE_6,0
10007,OPP,AL,36467,COVINGTON,3344933541,Emergency Department,EDV,0
10007,OPP,AL,36467,COVINGTON,3344933541,Emergency Department,ED_1b,0
10007,OPP,AL,36467,COVINGTON,3344933541,Emergency Department,ED_2b,0
10007,OPP,AL,36467,COVINGTON,3344933541,Preventive Care,IMM_2,0
10007,OPP,AL,36467,COVINGTON,3344933541,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,0
10007,OPP,AL,36467,COVINGTON,3344933541,Emergency Department,OP_18b,0
10007,OPP,AL,36467,COVINGTON,3344933541,Emergency Department,OP_18c,0
10007,OPP,AL,36467,COVINGTON,3344933541,Heart Attack or Chest Pain,OP_2,0
10007,OPP,AL,36467,COVINGTON,3344933541,Emergency Department,OP_22,0
10007,OPP,AL,36467,COVINGTON,3344933541,Emergency Department,OP_23,0
10007,OPP,AL,36467,COVINGTON,3344933541,Colonoscopy care,OP_29,0
10007,OPP,AL,36467,COVINGTON,3344933541,Colonoscopy care,OP_30,0
10007,OPP,AL,36467,COVINGTON,3344933541,Cataract surgery outcome,OP_31,0
10007,OPP,AL,36467,COVINGTON,3344933541,Cancer care,OP_33,0
10007,OPP,AL,36467,COVINGTON,3344933541,Heart Attack or Chest Pain,OP_3b,0
10007,OPP,AL,36467,COVINGTON,3344933541,Heart Attack or Chest Pain,OP_5,0
10007,OPP,AL,36467,COVINGTON,3344933541,Pregnancy and Delivery Care,PC_01,0
10007,OPP,AL,36467,COVINGTON,3344933541,Sepsis Care,SEP_1,0
10007,OPP,AL,36467,COVINGTON,3344933541,Blood Clot Prevention and Treatment,VTE_6,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Emergency Department,EDV,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Emergency Department,ED_1b,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Emergency Department,ED_2b,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Preventive Care,IMM_2,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Emergency Department,OP_18b,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Emergency Department,OP_18c,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Heart Attack or Chest Pain,OP_2,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Emergency Department,OP_22,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Emergency Department,OP_23,0
10008,LUVERNE,AL,36049,CRENSHAW,3343353374,Colonoscopy care,OP_29,0
